Date,Price
18-Jan-17,120
17-Jan-17,118.34
13-Jan-17,119.11
12-Jan-17,118.9
11-Jan-17,118.74
10-Jan-17,118.77
9-Jan-17,117.95
6-Jan-17,116.78
5-Jan-17,115.92
4-Jan-17,115.85
