Date,Price
2008-09-30,113.66
2008-09-29,105.26
2008-09-26,128.24
2008-09-25,131.93
2008-09-24,128.71
2008-09-23,126.84
2008-09-22,131.05
2008-09-19,140.91
2008-09-18,134.09
2008-09-17,127.83
2008-09-16,139.88
2008-09-15,140.36
2008-09-12,148.94
2008-09-11,152.65
2008-09-10,151.61
2008-09-09,151.68
2008-09-08,157.92
2008-09-05,160.18
2008-09-04,161.22
2008-09-03,166.96
2008-09-02,166.19
